com_address,coordinates
"Naga City, Camarines Sur","(13.627880096435547, 123.18750762939453)"
"Pilar, Bataan","(14.66823959350586, 120.55274200439453)"
"Morong, Rizal","(14.514240264892578, 121.2389907836914)"
"Noveleta, Cavite","(14.4279203414917, 120.88060760498047)"
"Iligan City, Lanao del Norte","(8.232850074768066, 124.24146270751953)"
"Bay, Laguna","(14.180959701538086, 121.28536224365234)"
"Pagsanjan, Laguna","(14.272669792175293, 121.4558334350586)"
"Ternate, Cavite","(14.28557014465332, 120.71832275390625)"
"Kawit, Cavite","(14.444499969482422, 120.90426635742188)"
"Santa Rosa, Nueva Ecija","(15.428380012512207, 120.9958267211914)"
"Candaba, Pampanga","(15.092789649963379, 120.82781982421875)"
"Dumaguete City, Negros Oriental","(9.310059547424316, 123.3050537109375)"
"Torrijos, Marinduque","(13.320489883422852, 122.08515167236328)"
"Miagao, Iloilo","(10.644149780273438, 122.2435073852539)"
"Gen. Mariano Alvarez, Cavite","(14.295280456542969, 121.00715637207031)"
"Pavia, Iloilo","(10.774889945983887, 122.54080200195312)"
"Guimbal, Iloilo","(10.66193962097168, 122.3218994140625)"
"Guinobatan, Albay","(13.217530250549316, 123.6193618774414)"
"Caluya, Antique","(11.927350044250488, 121.56665802001953)"
"San Fernando, La Union","(16.615970611572266, 120.3166732788086)"
"Roxas City, Capiz","(11.58296012878418, 122.75244140625)"
"Rosales, Pangasinan","(15.892919540405273, 120.632568359375)"
"Maragondon, Cavite","(14.27206039428711, 120.73880767822266)"
"Castillejos, Zambales","(14.927989959716797, 120.21080780029297)"
"Alitagtag, Batangas","(13.8648099899292, 121.00652313232422)"
"Calapan, Oriental Mindoro","(13.414259910583496, 121.18074035644531)"
"Porac, Pampanga","(15.083760261535645, 120.55024719238281)"
"San Felipe, Zambales","(15.065360069274902, 120.0687484741211)"
"Mati, Davao Oriental","(6.954800128936768, 126.21675109863281)"
"Macabebe, Pampanga","(14.899629592895508, 120.71502685546875)"
"Sariaya, Quezon","(13.892069816589355, 121.48233795166016)"
"Solano, Nueva Vizcaya","(16.517850875854492, 121.18036651611328)"
"Caba, La Union","(16.432540893554688, 120.3448486328125)"
"Unisan, Quezon","(13.836359977722168, 121.97801208496094)"
"Malasiqui, Pangasinan","(15.919710159301758, 120.41937255859375)"
"Alicia, Isabela","(16.817930221557617, 121.72714233398438)"
"Mandaue City, Cebu","(10.345069885253906, 123.92635345458984)"
"Lingayen, Pangasinan","(16.02001953125, 120.23126983642578)"
"San Isidro, Nueva Ecija","(15.30774974822998, 120.89946746826172)"
"Kalibo, Aklan","(11.696760177612305, 122.36702728271484)"
"San Simon, Pampanga","(14.98904037475586, 120.85920715332031)"
"Baras, Rizal","(14.523659706115723, 121.26023864746094)"
"Sallapadan, Abra","(17.463560104370117, 120.80313873291016)"
"La Trinidad, Benguet","(16.461469650268555, 120.58680725097656)"
"Tudela, Misamis Occidental","(8.245409965515137, 123.84500885009766)"
"Alaminos, Laguna","(14.063420295715332, 121.24323272705078)"
"Tuao, Cagayan","(17.738609313964844, 121.4549789428711)"
"Marantao, Lanao del Sur","(7.972010135650635, 124.19287109375)"
"Indang, Cavite","(14.195280075073242, 120.87828063964844)"
"Tarangnan, Samar","(11.888389587402344, 124.82926940917969)"
"Tigbauan, Iloilo","(10.67494010925293, 122.37596893310547)"
"Lemery, Batangas","(13.987719535827637, 120.89100646972656)"
"Jalajala, Rizal","(14.358099937438965, 121.32627868652344)"
"Mexico, Pampanga","(15.066729545593262, 120.72309875488281)"
"Bauang, La Union","(16.52526092529297, 120.32980346679688)"
